Date,Open,High,Low,Close,Volume,Adj Close
2003-04-28,7679.109863,7907.189941,7603.759766,7907.189941,54600,7907.189941
2003-04-21,7889.419922,7996.540039,7660.620117,7699.50,50500,7699.50
2003-04-14,7830.939941,7934.689941,7693.459961,7874.509766,56900,7874.509766
2003-04-07,8123.939941,8249.980469,7807.990234,7816.490234,55100,7816.490234
2003-03-31,8240.099609,8240.099609,7866.669922,8074.120117,51200,8074.120117
2003-03-24,8300.320312,8451.049805,8231.950195,8280.160156,46600,8280.160156
2003-03-17,8010.390137,8287.089844,7824.819824,8195.049805,50000,8195.049805
2003-03-10,8097.27002,8112.870117,7862.430176,8002.689941,633985000,8002.689941
2003-03-03,8397.150391,8509.429688,8144.120117,8144.120117,532258400,8144.120117
2003-02-24,8503.980469,8606.580078,8266.969727,8363.040039,455664500,8363.040039
2003-02-17,8765.69043,8821.30957,8506.830078,8513.540039,535757400,8513.540039
2003-02-10,8427.299805,8771.629883,8427.299805,8701.919922,572664300,8701.919922
2003-02-03,8285.549805,8595.230469,8253.759766,8448.160156,504954000,8448.160156
2003-01-27,8656.50,8690.129883,8237.030273,8339.94043,534578500,8339.94043
2003-01-20,8639.040039,8825.669922,8495.00,8731.650391,710898500,8731.650391
2003-01-14,8512.820312,8732.849609,8451.700195,8690.25,575192800,8690.25
2002-12-30,8617.650391,8829.05957,8378.179688,8470.450195,358594100,8470.450195
2002-12-24,8434.259766,8714.049805,8389.490234,8714.049805,364480500,8714.049805
2002-12-16,8499.089844,8583.679688,8256.519531,8406.879883,464845100,8406.879883
2002-12-09,8836.679688,8942.209961,8496.290039,8516.070312,528164200,8516.070312
2002-12-02,9208.610352,9320.110352,8805.040039,8863.259766,504949200,8863.259766
2002-11-25,8818.400391,9294.099609,8749.879883,9215.55957,591487200,9215.55957
2002-11-18,8477.660156,8819.599609,8246.530273,8772.55957,660650400,8772.55957
2002-11-11,8619.740234,8619.740234,8303.389648,8503.589844,494931600,8503.589844
2002-11-05,8790.660156,9100.679688,8657.179688,8690.769531,510031900,8690.769531
2002-10-28,8680.05957,8842.780273,8557.929688,8685.719727,420259200,8685.719727
2002-10-21,9108.509766,9116.519531,8499.490234,8726.290039,434665300,8726.290039
2002-10-15,8641.660156,9134.799805,8641.660156,9086.129883,447309000,9086.129883
2002-10-07,8920.740234,8920.740234,8197.219727,8529.610352,575281100,8529.610352
2002-09-30,9421.25,9470.709961,8860.650391,9027.549805,492473200,9027.549805
2002-09-24,9396.419922,9572.370117,9106.450195,9530.44043,495465000,9530.44043
2002-09-17,9349.379883,9884.599609,9257.860352,9481.080078,585274200,9481.080078
2002-09-09,9221.50,9455.849609,9156.790039,9241.929688,558822000,9241.929688
2002-09-02,9564.900391,9565.080078,8969.259766,9129.070312,497797200,9129.070312
2002-08-26,9811.839844,10162.299805,9524.780273,9619.299805,408318000,9619.299805
2002-08-19,9773.379883,9979.879883,9499.509766,9867.450195,457207000,9867.450195
2002-08-12,9931.820312,9931.820312,9618.870117,9788.129883,356057700,9788.129883
2002-08-05,9637.30957,10043.299805,9439.410156,9999.790039,546522000,9999.790039
2002-07-29,9654.129883,10013.990234,9633.830078,9709.660156,511259900,9709.660156
2002-07-22,10076.299805,10295.709961,9547.849609,9591.030273,514883600,9591.030273
2002-07-15,10548.209961,10548.209961,10113.610352,10202.360352,471106600,10202.360352
2002-07-08,10969.209961,11050.69043,10457.070312,10601.450195,494754000,10601.450195
2002-07-01,10655.00,10885.830078,10371.259766,10826.089844,495622000,10826.089844
2002-06-24,10255.990234,10621.839844,10060.719727,10621.839844,495298200,10621.839844
2002-06-17,10858.049805,10888.040039,10325.549805,10354.349609,537031100,10354.349609
2002-06-10,11470.919922,11522.040039,10911.070312,10920.629883,560795800,10920.629883
2002-06-03,11804.040039,11905.160156,11365.610352,11438.530273,000,11438.530273
2002-05-27,11975.330078,12081.429688,11680.580078,11763.700195,000,11763.700195
2002-05-20,11887.799805,12023.419922,11765.209961,11976.280273,000,11976.280273
2002-05-13,11473.929688,11926.900391,11309.480469,11847.320312,000,11847.320312
2002-05-07,11500.129883,11727.519531,11250.860352,11531.110352,000,11531.110352
2002-04-30,11532.570312,11609.69043,11440.660156,11551.009766,000,11551.009766
2002-04-22,11555.080078,11812.990234,11464.589844,11541.389648,000,11541.389648
2002-04-15,11013.669922,11635.980469,10941.80957,11512.009766,000,11512.009766
2002-04-08,11321.280273,11430.030273,10896.120117,10962.980469,000,10962.980469
2002-04-01,11106.070312,11537.129883,11007.629883,11335.490234,000,11335.490234
2002-03-25,11339.05957,11524.230469,11024.94043,11024.94043,000,11024.94043
2002-03-18,11745.80957,11833.969727,11326.219727,11345.080078,000,11345.080078
2002-03-11,11941.919922,12034.040039,11347.25,11648.009766,000,11648.009766
2002-03-04,10942.50,12010.25,10941.360352,11885.790039,000,11885.790039
2002-02-25,10394.730469,10813.450195,10183.519531,10812.00,000,10812.00
2002-02-18,10021.549805,10418.639648,9773.950195,10356.780273,000,10356.780273
2002-02-12,9816.959961,10235.379883,9816.959961,10048.099609,000,10048.099609
2002-02-04,9808.820312,9808.820312,9420.849609,9686.05957,000,9686.05957
2002-01-28,10190.280273,10303.740234,9735.049805,9791.429688,000,9791.429688
2002-01-21,10252.429688,10393.55957,10012.799805,10144.139648,000,10144.139648
2002-01-15,10359.44043,10359.44043,10074.450195,10293.320312,000,10293.320312
2002-01-07,10803.450195,10979.919922,10441.589844,10441.589844,000,10441.589844
2001-12-25,10359.219727,10871.490234,10170.900391,10871.490234,000,10871.490234
2001-12-17,10482.400391,10582.070312,10253.719727,10335.450195,000,10335.450195
2001-12-10,10736.120117,10821.129883,10379.589844,10511.650391,000,10511.650391
2001-12-03,10694.650391,11052.509766,10326.519531,10796.889648,000,10796.889648
2001-11-26,10797.120117,11186.75,10512.660156,10697.44043,000,10697.44043
2001-11-19,10643.330078,10849.19043,10490.599609,10696.820312,000,10696.820312
2001-11-12,10225.589844,10850.480469,9955.089844,10649.089844,000,10649.089844
2001-11-05,10427.349609,10633.719727,10213.009766,10215.709961,000,10215.709961
2001-10-29,10779.19043,10798.080078,10318.169922,10383.780273,000,10383.780273
2001-10-23,10685.349609,11052.009766,10649.589844,10795.160156,000,10795.160156
2001-10-15,10545.25,10790.030273,10412.25,10538.790039,000,10538.790039
2001-10-09,10143.389648,10632.349609,9934.00,10632.349609,000,10632.349609
2001-10-01,9766.75,10261.860352,9604.089844,10205.870117,000,10205.870117
2001-09-25,9637.599609,9933.69043,9551.730469,9774.679688,000,9774.679688
2001-09-17,9881.05957,10061.099609,9382.950195,9554.990234,000,9554.990234
2001-09-10,10395.099609,10457.089844,9476.870117,10008.889648,000,10008.889648
2001-09-03,10729.599609,10812.889648,10325.830078,10516.790039,000,10516.790039
2001-08-27,11273.959961,11366.179688,10684.160156,10713.509766,000,10713.509766
2001-08-20,11347.240234,11504.05957,11075.419922,11166.30957,000,11166.30957
2001-08-13,11697.120117,11936.75,11412.360352,11445.540039,000,11445.540039
2001-08-06,12170.110352,12388.610352,11683.219727,11735.05957,000,11735.05957
2001-07-30,11846.00,12407.370117,11539.160156,12241.969727,000,12241.969727
2001-07-23,11902.230469,12054.299805,11531.679688,11798.080078,000,11798.080078
2001-07-16,12408.389648,12408.389648,11847.730469,11908.389648,000,11908.389648
2001-07-09,12191.30957,12444.55957,12005.110352,12355.150391,000,12355.150391
2001-07-02,12929.660156,12929.660156,12289.610352,12306.080078,000,12306.080078
2001-06-25,13052.959961,13073.490234,12567.259766,12969.049805,000,12969.049805
2001-06-18,12766.379883,13079.110352,12511.660156,13044.610352,000,13044.610352
2001-06-11,13413.099609,13447.389648,12578.780273,12790.379883,000,12790.379883
2001-06-04,13294.209961,13510.700195,12984.070312,13430.219727,000,13430.219727
2001-05-28,13732.099609,13836.400391,13216.570312,13261.839844,000,13261.839844
2001-05-21,13938.780273,14345.419922,13758.660156,13765.919922,000,13765.919922
2001-05-14,14041.790039,14103.05957,13694.269531,13877.769531,000,13877.769531
2001-05-07,14384.139648,14556.110352,13957.80957,14043.919922,000,14043.919922
2001-05-01,14096.320312,14444.839844,14096.320312,14421.639648,000,14421.639648
2001-04-23,13837.19043,14084.549805,13403.269531,13934.320312,000,13934.320312
2001-04-16,13338.919922,14099.490234,13019.599609,13765.669922,000,13765.669922
2001-04-09,13304.360352,13578.639648,12579.55957,13385.719727,000,13385.719727
2001-04-02,13057.650391,13674.580078,12781.339844,13383.759766,000,13383.759766
2001-03-26,13309.719727,13867.580078,12992.450195,12999.700195,000,12999.700195
2001-03-19,12183.980469,13242.719727,12100.969727,13214.540039,000,13214.540039
2001-03-12,12509.669922,12509.669922,11433.879883,12232.980469,000,12232.980469
2001-03-05,12285.459961,12824.19043,12133.900391,12627.900391,000,12627.900391
2001-02-26,13255.290039,13315.860352,12261.799805,12261.799805,000,12261.799805
2001-02-19,13060.200195,13272.80957,12861.330078,13246.00,000,13246.00
2001-02-13,13431.719727,13461.110352,13119.339844,13175.490234,000,13175.490234
2001-02-05,13588.639648,13588.639648,12966.830078,13422.830078,000,13422.830078
2001-01-29,13724.259766,13910.709961,13667.929688,13703.629883,000,13703.629883
2001-01-22,14010.070312,14060.230469,13626.049805,13696.05957,000,13696.05957
2001-01-15,13450.280273,14186.620117,13441.519531,13989.120117,000,13989.120117
2001-01-09,13732.849609,13732.849609,13123.80957,13347.740234,000,13347.740234
2001-01-04,13898.089844,13990.570312,13667.679688,13867.610352,000,13867.610352
2000-12-26,13878.519531,14019.730469,13781.120117,13785.69043,000,13785.69043
2000-12-18,14462.349609,14566.209961,13182.509766,13427.080078,000,13427.080078
2000-12-11,14775.929688,15273.400391,14552.290039,14552.290039,000,14552.290039
2000-12-04,14922.669922,15109.639648,14622.830078,14696.509766,000,14696.509766
2000-11-27,14422.25,14984.370117,14385.160156,14835.330078,000,14835.330078
2000-11-20,14510.389648,14577.730469,14172.639648,14315.349609,000,14315.349609
2000-11-13,14824.709961,14958.330078,14420.360352,14544.299805,000,14544.299805
2000-11-06,14904.290039,15602.389648,14873.519531,14988.540039,000,14988.540039
2000-10-30,14607.019531,14961.69043,14333.160156,14837.780273,000,14837.780273
2000-10-23,15197.929688,15229.459961,14577.200195,14582.200195,000,14582.200195
2000-10-16,15366.80957,15688.169922,14707.879883,15198.730469,000,15198.730469
2000-10-10,15958.120117,15958.120117,15101.639648,15330.30957,000,15330.30957
2000-10-02,15735.709961,16192.780273,15514.040039,15994.240234,000,15994.240234
2000-09-25,15850.55957,16144.19043,15621.879883,15747.259766,000,15747.259766
2000-09-18,16174.919922,16523.269531,15774.719727,15818.25,000,15818.25
2000-09-11,16467.689453,16477.529297,15885.320312,16213.280273,000,16213.280273
2000-09-04,16764.330078,16883.310547,16239.259766,16501.550781,000,16501.550781
